"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","C.J. Sapong","NSH","2021","F","$400,000","$427,778","2021-09-30"
"","Stuart Findlay","PHI","2021","D","$425,000","$425,000","2021-09-30"
"","Michael Boxall","MIN","2021","D","$384,000","$422,400","2021-09-30"
"","Tyler Miller","MIN","2021","GK","$400,000","$420,937","2021-09-30"
"","Ola Kamara","DCU","2021","F","$400,000","$420,000","2021-09-30"
"","Jhohan Romaña","ATX","2021","D","$420,000","$420,000","2021-09-30"
"","Andrew Farrell","NER","2021","D","$400,000","$418,750","2021-09-30"
"","Daniel Lovitz","NSH","2021","D","$385,000","$415,556","2021-09-30"
"","Arnór Ingvi Traustason","NER","2021","M","$375,000","$413,405","2021-09-30"
"","Lucas Esteves","COL","2021","D","$369,996","$412,467","2021-09-30"
"","José Cifuentes","LAFC","2021","M","$367,875","$411,750","2021-09-30"
"","Pedro Gallese","ORL","2021","GK","$410,000","$410,000","2021-09-30"
"","Thomas Edwards","NYRB","2021","D","$409,911","$409,911","2021-09-30"
"","Jamal Blackman","LAFC","2021","GK","$360,000","$409,333","2021-09-30"
"","Alexandru Matan","CLB","2021","M","$375,000","$408,250","2021-09-30"
"","Milton Valenzuela","CLB","2021","D","$375,000","$406,300","2021-09-30"
"","Sean Davis","NYRB","2021","M","$375,000","$402,500","2021-09-30"
"","Fabio","NYRB","2021","F","$380,000","$401,400","2021-09-30"
"","Jeizon Ramírez","RSL","2021","M","$360,000","$401,250","2021-09-30"
"","Leonard Owusu","VAN","2021","M","$350,000","$401,250","2021-09-30"
"","Cory Burke","PHI","2021","F","$350,000","$400,770","2021-09-30"
"","Marcelino Moreno","ATL","2021","F","$400,000","$400,000","2021-09-30"
